E043DB	Shenzhen ViewAt
D848EE	Hangzhou Xueji
88C242	Poynt
E8343E	Beijing Infosec
C4ADF1	GOPEACE
58F496	Source Chain
80B709	Viptela
741865	Shanghai DareGlobal
DCDC07	TRP Systems
080A4E	Planet Bingo
0C1A10	Acoustic Stream
E4A387	Control Solutions
DC82F6	iPort
C49E41	G24 Power
D03E5C	Huawei
C8A9FC	Goyoo Networks
C49FF3	Mciao
7C2BE1	Shenzhen Ferex Electrical
30FFF6	HangZhou KuoHeng
5853C0	Beijing Guang Runtong Development
5031AD	ABB Global
30A243	Shenzhen Prifox Innovation
2CA539	Parallel Wireless
FC335F	Polyera
A8C87F	Roqos
C025A2	NEC Platforms
7853F2	ROXTON
94BBAE	Husqvarna
AC8995	Azurewave
F898B9	Huawei
1C497B	Gemtek
2CCF58	Huawei
54FF82	Davit Solution
D445E8	Jiangxi Hongpai
847973	Shanghai Baud Data
906F18	Private
881B99	Shenzhen XIN FEI JIA
681295	Lupine Lighting Systems
649A12	P2 Mobile
E4C2D1	Huawei
DC3CF6	Atomic Rules
3C3178	Qolsys
083A5C	Junilab
4CAE31	ShengHai
F0D657	Echosens
24693E	innodisk
E48D8C	Routerboard.com
C0DC6A	Qingdao Eastsoft
6459F8	Vodafone Omnitel B.V
082CB0	Network Instruments
485073	Microsoft
3CA31A	Oilfind
A424DD	Cambrionix
88A2D7	Huawei
D89A34	Beijing SHENQI
1CADD1	Bosung
24E5AA	Philips Oral Healthcare
88CBA5	Suzhou Torchstar Intelligent
046169	Media Global Links
AC562C	Lava
3CCE15	Mercedes-Benz USA
84DF19	Chuango Security
3C4711	Huawei
245BF0	Liteon
FCFEC2	Invensys Controls UK
E8F2E2	LG Innotek
AC676F	Electrocompaniet A.S
4CB82C	Cambridge Mobile Telematics
F0224E	Esan
B0411D	ITTIM
7CB25C	Acacia
78EB39	Instituto Nacional de Tecnolog?a
ECEED8	ZTLX Network
F85B9C	SB SysTEMS
7CA237	King Slide
847303	Letv Mobile and Intelligent Information
B0495F	OMRON HEALTHCARE
F44713	Leading Public Performance
D4522A	TangoWiFi.com
B0ECE1	Private
407FE0	Glory Star Technics
BC5C4C	Elecom
6CA75F	zte
C8C50E	Shenzhen Primestone Network.Co
9CBEE0	Biosoundlab
E807BF	Shenzhen Boomtech
E8162B	IDEO Security
709F2D	zte
ECE2FD	SKG Electric Group
88E603	Avotek
74E28C	Microsoft
94F19E	Huizhou Maorong Intelligent
C4924C	Keisokuki Center
E4F939	Minxon Hotel
38C70A	WiFiSong
60E6BC	Sino-Telecom
486EFB	Davit System
340A22	TOP-Access
B008BF	Vital Connect
485415	NET Rules Tecnologia Eireli
70C76F	Inno S
704E66	Shenzhen Fast
409B0D	Shenzhen Yourf Kwan
C40880	Shenzhen UTEPO
94C038	Tallac Networks
801967	Shanghai Reallytek Information
6836B5	DriveScale
2CF7F1	Seeed
F88479	Yaojin TechnologyCo
4C48DA	Beijing Autelan
90179B	Nanomegas
3077CB	Maike IndustryCo
3428F0	ATN
EC3C5A	Shen Zhen Heng Sheng HUI Digital
8C0551	Koubachi
E887A3	Loxley Public
10FACE	Reacheng
D8CB8A	Micro-Star INTL
A8D0E3	Systech
8463D6	Microsoft
78B3B9	ShangHai sunup lighting
186571	Top Victory
F8BC41	Rosslare
8486F3	Greenvity
205CFA	Yangzhou ChangLian Network
8C18D9	Shenzhen RF
6099D1	Vuzix / Lenovo
34F6D2	Panasonic Taiwan
DC2F03	Step forward Group
582136	KMB Systems
00AEFA	Murata Manufacturing
8CDF9D	NEC
6828F6	Vubiq Networks
44356F	Neterix
742EFC	DirectPacket
20C06D	Shenzhen Spacetek
3CB792	Hitachi Maxell
7491BD	Four Systems
D43266	Fike
948E89	Industrias Unidas de
9405B6	Liling FullRiver
382C4A	ASUS
74547D	Cisco SPVTG
D48F33	Microsoft
1CA2B1	ruwido austria
945493	Rigado
34B7FD	Guangzhou Younghead
384B76	AIRTAME ApS
1C5216	Dongguan Hele
70AF25	Nishiyama
B47C29	Shenzhen Guzidi
2C1A31	Electronics
60C1CB	Fujian Great Power Equipment
686E48	Prophet
30F7D7	Thread
3808FD	Silca
7C2587	chaowifi.com
2012D5	Scientech Materials
EC1D7F	zte
AC11D3	Suzhou HOTEK Video
304225	Burg-W?Chter
1C4840	IMS Messsysteme
F42853	Zioncom
3C46D8	TP-Link
6C0273	Shenzhen Jin Yun Video Equipment
F42833	MMPC
244F1D	iRule
BC9CC5	Beijing Huafei
505065	TAKT
A4A4D3	Bluebank
74F413	Maxwell Forest
34F0CA	Shenzhen Linghangyuan Digital
30B5F1	Aitexin
08CD9B	samtec automotive
28FCF6	Shenzhen Xin KingBrand
4C26E7	Welgate
94D60E	shenzhen yunmao Information
7C6AC3	GatesAir
3CCD5A	Technische Alternative
604826	Newbridge Int
24D13F	Mexus
702C1F	Wisol
9CBD9D	SkyDisk
74C621	Zhejiang Hite Renewable Energy
44C306	SIFROM
54A31B	Shenzhen Linkworld
5CE7BF	New Singularity Technical Development
1CEEE8	Ilshin Elecom
6C641A	Penguin Computing
E036E3	Stage One
34DE34	zte
34466F	HiTEM
2C39C1	Ciena
6C2C06	OOO NPP Systemotechnika-NN
54EE75	Wistron InfoCommCo
60812B	Custom Control Concepts
F86601	Suzhou Chi-tek Information
FC4AE9	Castlenet
34E42A	Automatic Bar Controls
20A787	Bointec Taiwan
A481EE	Nokia
54C80F	TP-Link
EC1766	Research Centre Module
7CFF62	Huizhou Super
A0D12A	AXPRO
30C750	MIC Group
442938	NietZsche
D881CE	AHN
E0D31A	EQUES
9C3EAA	EnvyLogic
909864	Impex-Sat&Co
DCE578	Experimental Factory Of Scientific
949F3F	Optek Digital
987770	Pep Digital
4411C2	Telegartner Karl Gartner
9451BF	Hyundai ESG
4C7F62	Nokia
F03FF8	R L Drake
54D163	MAX-Tech
E41218	ShenZhen Rapoo
2C8A72	HTC
4486C1	Siemens Low Voltage
C83168	eZEX
F84A73	Eumtech
880F10	Huami Information
24336C	Private
C46BB4	myIDkey
ECE512	tado
30918F	Technicolor
FC09F6	Guangdong Tonze Electric
687848	Westunitis
A8B9B3	Essys
64B370	PowerComm Solutions
D86595	Toy's Myth
D8DD5F	BALMUDA
88D962	Canopus Systems US
2C18AE	Trend
E097F2	Atomax
90F3B7	Kirisun
DCAD9E	GreenPriz
B4827B	AKG Acoustics
908C44	H.K Zongmu
0C473D	Hitron
9CF8DB	shenzhen eyunmei
644214	Swisscom Energy Solutions
8CCDA2	ACTP
CC720F	Viscount Systems
906717	Alphion India
24050F	MTN
40B6B1	SUNGSAM
98FF6A	OTECTechnology
AC6BAC	Jenny Science
707C18	ADATA
FC4B1C	Intersensor S.R.L
1879A2	GMJ Electric
E0C86A	SHENZHEN TW-SCIE
80BAE6	Neets
041A04	WaveIP
50206B	Emerson Climate Transportation Solutions
C8EE75	Pishion
CC3429	TP-Link
407496	aFUN
18C8E7	Shenzhen Hualistone
3CF748	Shenzhen Linsn Development
9C039E	Beijing Winchannel
48A2B7	Kodofon JSC
443C9C	Pintsch Tiefenbach
F81CE5	Telefonbau Behnke
BC2D98	ThinGlobal
7C72E4	Unikey
CC7498	Filmetrics
7C6AB3	IBC
F0321A	Mita-Teknik
4CD7B6	Helmer Scientific
746F3D	Contec
483D32	Syscor Controls & Automation
9031CD	Onyx Healthcare
404A18	Addrek Smart Solutions
C4C0AE	Midori
90837A	General Electric Water & Process
089758	Shenzhen Strong Rising
B424E7	Codetek
44EE30	Budelmann Elektronik
38DBBB	Sunbow Telecom
688AB5	EDP Servicos
407A80	Nokia
D481CA	iDevices
B898F7	Gionee Equipment LtdShenZhen
C0F1C4	Pacidal
D858D7	CZ.NIC
10B713	Private
E8E770	Warp9 Design
78CA5E	Elno
98FFD0	Lenovo Mobile
50A054	Actineon
48EE86	UTStarcom
5056A8	Jolla
D09D0A	Linkcom
54FB58	WISEWARE
28A1EB	Etek
4CCBF5	zte
F0F5AE	Adaptrum
F42896	Specto Paineis Eletronicos
9C2840	Discovery
F89FB8	YAZAKI Energy System
F037A1	Huike
6CD1B0	Wing Sing
A4F522	Chofu Seisakusho
7CE56B	ESEN Optoelectronics
CC4703	Intercon Systems
5C3327	Spazio Italia srl
F85BC9	M-Cube
8005DF	Montage Group
78E8B6	zte
041B94	Host Mobility
CC2A80	Micro-Biz Intelligence solutions
3859F8	MindMade Sp. z o.o
5C026A	Applied Vision
7CBD06	AE REFUsol
94BA56	Shenzhen Coship
2894AF	Samhwa Telecom
740EDB	Optowiz
00A2FF	abatec group
D095C7	Pantech
D02C45	littleBits
5027C7	TECHNART
248000	Westcontrol
F84A7F	Innometriks
58639A	TPL Systemes
0C9B13	Shanghai Magic Mobile Telecom
3C15EA	Tescom
B4CCE9	Prosyst
34A3BF	Terewave
B0CE18	Zhejiang shenghui lighting
503CC4	Lenovo Mobile
286D97	SAMJIN
ACE42E	SK hynix
08EF3B	MCS Logic
806C8B	Kaeser Kompressoren
048C03	ThinPAD
84E629	Bluwan
34CD6D	CommSky
C47F51	Inventek Systems
E8D4E0	Beijing BenyWave
681D64	Sunwave
F4CD90	Vispiron Rotec
E438F2	Advantage Controls
C8F386	Shenzhen Xiaoniao
E8CE06	SkyHawke
B0808C	Laser Light Engines
C419EC	Qualisys
981094	Shenzhen Vsun
082719	APS Systems/electronic
D4AC4E	BODi rS
B03850	Nanjing CAS-ZDC IOT SysTEM
C0DA74	Hangzhou Sunyard
34A843	KYOCERA Display
6C5779	Aclima
40BD9E	Physio-Control
581CBD	Affinegy
F82BC8	Jiangsu Switter
60C397	2Wire
3065EC	Wistron
5CA3EB	Lokel s.r.o
04DF69	Car Connectivity Consortium
28DB81	Shanghai Guao
9CB793	Creatcomm
A0B100	ShenZhen Cando
40560C	In Home Displays
9436E0	Sichuan Bihong Broadcast & Television New
D4D50D	Southwest Microwave
B8CD93	Penetek
F8516D	Denwa
1078CE	Hanvit SI
D8DA52	Apator S.A
107A86	U&U
980D2E	HTC
842F75	Innokas Group
D4BF7F	Upvel
5061D6	Indu-Sol
68EC62	YODO
F07F0C	Leopold Kostal &Co
5C22C4	DAE EUN
08482C	Raycore Taiwan
F4B381	WindowMaster
74F102	Beijing HCHCOM
080EA8	Velex s.r.l
0086A0	Private
60FE1E	China Palms Telecom
841E26	KERNEL-I
349D90	Heinzmann
D4016D	TP-Link
FC1186	Logic3
50CD32	NanJing Chaoran Science
683EEC	Ereca
44619C	FONsystem
BCBAE1	AREC
18FA6F	ISC applied Systems
9C9726	Technicolor
880905	MTMCommunications
C42628	Airo Wireless
745F00	Samsung Semiconductor
541FD5	Advantage
90FF79	Metro Ethernet Forum
E08177	GreenBytes
48F230	Ubizcore
B0C95B	Beijing Symtech
DCA989	Macandc
C05E6F	V. Stonkaus firma Kodinis Raktas
6CD146	Smartek d.o.o
E0C2B7	Masimo
F82EDB	RTW
60A44C	ASUS
045FA7	Shenzhen Yichen Development
983F9F	China SSJ Network
F02329	Showa Denki
6499A0	AG Elektronik
A80180	IMAGO
044CEF	Fujian Sanao
DC1DD4	Microstep-MIS spol. s r.o
149448	BLU Castle S.A
40516C	Grandex
D0D471	MVTECH
34ADE4	Shanghai Chint Power Systems
1853E0	Hanyang Digitech
C4E032	IEEE 1904.1 Working Group
ACDBDA	Shenzhen Geniatech
A42C08	Masterwork Automodules
60B185	ATH System
504F94	Loxone
8C078C	Flow Data
8887DD	DarbeeVision
807B1E	Corsair Components
A0E25A	Amicus SK
F87B62	FASTWEL. Taiwan Branch
B49842	zte
9C9C1D	Starkey
AC1702	Fibar Group sp. z o.o
7898FD	Q9 Networks
3C57D5	FiveCo
4C2258	Cozybit
10EA59	Cisco SPVTG
34FA40	Guangzhou Robustel
181725	Cameo
E82E24	Out Of the Fog
1C52D6	Flat Display
40270B	Mobileeco
ACE97F	IoT
301518	Ubiquitous
101248	ITG
106FEF	Ad-Sol Nissin
A036F0	Comprehensive Power
180CAC	Canon
00DB1E	Albedo Telecom SL
74943D	AgJunction
080C0B	SysMik Dresden
C8FB26	Cisco SPVTG
7CC8AB	Acro Associates
C4DA26	Noblex
1CC316	MileSight
C4E7BE	SCSpro
105F49	Cisco SPVTG
4495FA	Qingdao Santong Digital
60F2EF	VisionVera
B01266	Futaba-Kikaku
909DE0	Newland Design + Assoc
64D814	Cisco
6CE4CE	Villiger Security Solutions
30F33A	+plugg srl
58CF4B	Lufkin
C4393A	SMC Networks
D45C70	Wi-Fi Alliance
08EBED	World Elite
60BC4C	EWM Hightec Welding
F41E26	Simon-Kaloi
C44567	SAMBON PRECISON and
D0738E	Dong OH Precision
E8718D	Elsys Equipamentos Eletronicos
3C83B5	Advance Vision
808287	ATCOM
28A192	GERP Solution
A08C15	Gerhard D. Wempe
8CE081	zte
485261	Soreel
10FBF0	KangSheng
3C57BD	Kessler Crane
600F77	SilverPlus
6851B7	PowerCloud Systems
A44E2D	Adaptive Wireless Solutions
3CC12C	AES
0CCDFB	EDIC Systems
2CE2A8	DeviceDesign
B49DB4	Axion
D8182B	Conti Temic Microelectronic
304449	PLATH
94FD2E	Shanghai Uniscope
64A341	Wonderlan
8CAE4C	Plugable
D8D5B9	Rainforest Automation
C0A0E2	Eden Innovations
E8ABFA	Shenzhen Reecam
58874C	Lite-ON Clean Energy
E85BF0	Imaging Diagnostics
20DC93	Cheetah Hi-Tech
0CD9C1	Visteon
68AB8A	RF IDeas
70E24C	SAE IT-Systems
88615A	Siano Mobile Silicon
30215B	Shenzhen Ostar Display
DC028E	zte
DCB058	B?rkert Werke
C8E1A7	Vertu
88D7BC	DEP
F49466	CountMax
4CAB33	KST
5CE0F6	NIC.br- Nucleo de Informacao e Coordenacao do Ponto BR
00E666	ARIMA
5887E2	Shenzhen Coship
B4DFFA	Litemax
48F8B3	Cisco-Linksys
681CA2	Rosewill
7C092B	Bekey
D808F5	Arcadia Networks
84DF0C	NET2GRID
3CB87A	Private
E425E9	Color-Chip
F44848	Amscreen Group
441319	WKK
088F2C	Hills Sound Vision & Lighting
3C9F81	Shenzhen CATIC Bit
18339D	Cisco
642216	Shandong Taixin
D43D7E	Micro-Star
64517E	Long BEN
0C57EB	Mueller Systems
48282F	zte
745327	Commsen
E47185	Securifi
881036	Panodic
18F87A	i3
142DF5	Amphitech
90F72F	Phillips Machine & Welding
B45570	Borea
5C5015	Cisco
0CD2B5	Binatone Telecom
4846F1	Uros
1CD40C	Kriwan Industrie-Elektronik
747B7A	ETH
1C7C45	Vitek Video
C8AE9C	Shanghai TYD Elecronic
A44C11	Cisco
782544	Omnima
D4DF57	Alpinion Medical Systems
5048EB	Beijing Haihejinsheng Network
40AC8D	Data Management
54466B	Shenzhen CZTIC
1C3477	Innovation Wireless
4423AA	Farmage
A0EF84	Seine Image Int'l
AC7A42	iConnectivity
5869F9	Fusion Transactive
B0C83F	Jiangsu Cynray IOT
CC14A6	Yichun MyEnergy Domain
98D686	Chyi Lee
20443A	Schneider Electric Asia Pacific
28C914	Taimag
4C7897	Arrowhead Alarm
AC0A61	Labor S.r.L
B482C5	Relay2
60D1AA	Vishal Telecom
CCC104	Applied Technical Systems
709BA5	Shenzhen Y&D
EC42F0	ADL Embedded Solutions
10BD18	Cisco
B0435D	NuLEDs
A82BD6	Shina System
8CC7AA	Radinet
20014F	Linea
80D18B	Hangzhou I'Converge
B4A4B5	Zen Eye
489153	Weinmann Ger?te f?r Medizin +
549D85	EnerAccess
5CEE79	Global Digitech
9CE10E	NCTech
28F606	Syes srl
A0C3DE	Triton
AC3FA4	Taiyo Yuden
0C130B	Uniqoteq
808698	Netronics
2C00F7	XOS
809393	Xapt
00DEFB	Cisco
90AC3F	BrightSign
7CACB2	Bosch Innovations
0043FF	Ketron S.R.L
745798	TRUMPF Laser +
38E08E	Mitsubishi Electric
E4FA1D	PAD Peripheral Advanced Design
4C9E80	KYOKKO ELECTRIC
A826D9	HTC
F03A55	Omega Elektronik
24B88C	Crenus
98BC57	SVA
98FE03	Ericsson
F0EEBB	VIPAR
54D0ED	AXIM
A49005	China Greatwall Shenzhen
3055ED	Trex Network
D4A02A	Cisco
0463E0	Nome
BCA4E1	Nabto
900A3A	PSG Plastic
FC5B26	MikroBits
5CC213	Fr. Sauter
581D91	Advanced Mobile Telecom
9CB008	Ubiquitous Computing
00376D	Murata Manufacturing
E0EF25	Lintes
645EBE	Yahoo! JAPAN
CCC50A	Shenzhen Dajiahao
D01AA7	UniPrint
B08E1A	URadio Systems
E05DA6	Detlef Fink Elektronik & Softwareentwicklung
0C7523	Beijing Gehua Catv Network
BC2C55	Bear Flag Design
04F4BC	Xena Networks
608C2B	Hanson
EC1120	FloDesign Wind Turbine
C495A2	Shenzhen Weijiu AND Trade Development
0C9E91	Sankosha
F48771	Infoblox
04F021	Compex Systems
8823FE	TTTech Computertechnik
98AAD7	Blue Wave Networking
20107A	Gemtek
502267	PixeLINK
9092B4	Diehl BGT Defence
806007	RIM
38A851	Moog
90185E	Apex Tool Group & OHG
649EF3	Cisco
34D09B	MobilMAX
087572	Obelux
9C1FDD	Accupix
506441	Greenlee
80946C	Tokyo Radar
00FA3B	Cloos
28CD1C	Espotel
D824BD	Cisco
D878E5	Kuhn
C49300	8Devices
4C3910	Newtek
5808FA	Fiber Optic & telecommunication
7C94B2	Philips Healthcare PCCI
200505	Radmax
5848C0	Coflec
C8F704	Building Block Video
C8AF40	marco Systemanalyse und Entwicklung
AC319D	Shenzhen TG-NET Botone
08D09F	Cisco
B81413	Keen High Holding
2037BC	Kuipers
A887ED	ARC Wireless
983571	Sub10 Systems
B05CE5	Nokia
CC6BF1	Sound Masking
94AE61	Alcatel Lucent
7CA61D	MHL
5CCEAD	CDYNE
9CA3BA	SAKURA Internet
709756	Happyelectronics
D4206D	HTC
1866E3	Veros Systems
94DE0E	SmartOptics
A429B7	bluesky
7C6B33	Tenyu
CCB8F1	Eagle Kingdom
DC2E6A	HCT
34255D	Shenzhen Loadcom
1897FF	TechFaith Wireless
8C8E76	taskit
B4D8DE	iota Computing
54CDA7	Fujian Shenzhou
1000FD	LaonPeople
603553	Buwon
B89BC9	SMC Networks
48022A	B-Link
48A6D2	GJsun Optical Science and
186D99	Adanis
D44B5E	Taiyo Yuden
B40C25	Palo Alto Networks
40BF17	Digistar Telecom
E4AFA1	HES-SO
58920D	Kinetic Avionics
84D32A	IEEE 1905.1
F8E7B5	uTech Tecnologia
0462D7	Alstom Hydro France
CCC8D7	CIAS Elettronica srl
64AE0C	Cisco
A446FA	AmTRAN Video
2804E0	Fermax
FC01CD	Fundacion Tekniker
88E7A6	iKnowledge Integration
98E79A	Foxconn
54F5B6	Oriental Pacific
34A55D	Technosoft SRL
D0C282	Cisco
449CB5	Alcomp
24E6BA	JSC Zavod im. Kozitsky
8C8A6E	Estun Automation Technoloy
E0ED1A	vastriver
685E6B	PowerRay
4C32D9	M Rutty Holdings
603FC5	CoX
182B05	8D
54A9D4	Minibar Systems
08A12B	ShenZhen EZL
94319B	Alphatronics
08FC52	OpenXS
205B5E	Shenzhen Wonhe
3CC99E	Huiyang
C8A1BA	Neul
AC02EF	Comsis
C43A9F	Siconix
0418B6	Private
D4024A	Delphian Systems
84248D	Zebra
24EC99	Askey
B8621F	Cisco
B45CA4	Thing-talk Wireless
AC8ACD	ROGER D.Wensker
984246	SOL
28A574	Miller Electric
3826CD	Andtek
C436DA	Rusteletech
00FC70	Intrepid Control Systems
D0AFB6	Linktop
444F5E	Pan Studios
0C3956	Observator instruments
A49981	FuJian Elite Power
B83A7B	Worldplay
783F15	EasySYNC
88B168	Delta Control
20B399	Enterasys
18B79E	Invoxia
147411	RIM
5C56ED	3pleplay
0838A5	Funkwerk plettac
BCCD45	Voismart
78028F	Adaptive Spectrum and Signal Alignment
D4A425	SMAX
98F8DB	Marini Impianti Industriali s.r.l
140708	Private
24C9DE	Genoray
605464	Eyedro Green Solutions
54055F	Alcatel Lucent
405539	Cisco
B8BEBF	Cisco
38FEC5	Ellips B.V
24C86E	Chaney Instrument
D4D898	Korea CNO
5070E5	He Shan World Fair
28EE2C	Frontline Equipment
802275	Beijing Beny Wave
BC8199	BASIC
24470E	PentronicAB
A4DB2E	Kingspan Environmental
F44EFD	Actions Semiconductor
34BCA6	Beijing Ding Qing
D4C1FC	Nokia
48DCFB	Nokia
688470	eSSys
F08BFE	Costel
5435DF	Symeo
F43D80	FAG
D4F0B4	Napco Security
40B3FC	Logital
D05FCE	Hitachi Data Systems
8C82A8	Insigma
3C2763	SLE quality
A44B15	Sun Cupid
508ACB	Shenzhen Maxmade
7032D5	Athena Wireless
7CF0BA	Linkwell Telesystems
CCC62B	Tri-Systems
ACF97E	Elesys
4C7367	Genius Bytes Solutions
DC2B66	InfoBLOCK S.A. de C.V
14F0C5	Xtremio
C027B9	Beijing National Railway & Design Institute Of Signal
70A41C	Advanced Wireless Dynamics S.L
285132	Shenzhen Prayfly
4C3B74	VOGTEC
509772	Westinghouse Digital
D85D84	CAx soft
78A683	Precidata
BC6784	Environics
B4E0CD	Fusion-io
50AF73	Shenzhen Bitland Information
488E42	DIGALOG
286046	Lantech Global
A424B3	FlatFrog Laboratories
A4856B	Q
84EA99	Vieworks
DCCBA8	Explora
58EECE	Icon Time Systems
A41BC0	Fastec Imaging
E01F0A	Xslent Energy
F40321	BeNeXt B.V
00B033	OAO Izhevskiy radiozavod
707EDE	Nastec
CCBE71	OptiLogix
7CDD90	Shenzhen Ogemray
C07E40	Shenzhen XDK Equipment
E44F29	MA Lighting
6CAB4D	Digital Payment
60DA23	Estech
28F358	2C - Trifonov
304C7E	Panasonic Electric Works Automation Controls Techno
64D1A3	Sitecom
3831AC	WEG
2C7ECF	Onzo
10E3C7	Seohwa Telecom
E84040	Cisco
0C8112	Private
7C7D41	Jinmuyu
4C1480	Noregon Systems
60F673	Terumo
E48AD5	RF Window
24F0FF	GHT
4C07C9	CoMPUTER OfFICE
40F4EC	Cisco
2872F0	Athena
9C807D	SysCABLE Korea
180B52	Nanotron
64DE1C	Kingnetic
540496	Gigawave
C8C126	ZPM e Comercio
041D10	Dream Ware
88DD79	Voltaire
4468AB	Juin
902E87	LabJack
C8208E	Storagedata
00B342	MacroSAN
4CB9C8	Conet
0474A1	Aligera Equipamentos Digitais
1064E2	ADFweb.com s.r.l
CC34D7	Gewiss S.P.A
B4CFDB	Shenzhen Jiuzhou Electric
C46354	U-Raku
20FEDB	M2M Solution S.A.S
405FBE	RIM
E05B70	Innovid
043604	Gyeyoung I&T
34F968	ATEK
D0D0FD	Cisco
706417	Orbis Tecnologia Electrica S.A
64FC8C	Zonar Systems
28ED58	JAG Jakob
9873C4	Sage
B8797E	Secure Meters
2005E8	OOO InProMedia
E0D10A	Katoudenkikougyousyo
1C0656	IDY
C44B44	Omniprint
6015C7	IdaTech
188ED5	TP Vision Belgium N.V. - innovation site Brugge
8CE7B3	Sonardyne
0034F1	Radicom
A8B0AE	Leoni
60893C	Thermo Fisher Scientific P.O.A
5C17D3	LGE
70A191	Trendsetter Medical
58BC27	Cisco
34D2C4	RENA Print Systeme
E0A670	Nokia
E061B2	Hangzhou Zenointel
4491DB	Shanghai Huaqin Telecom
14D76E	CoNCH
CC6B98	Minetec Wireless
C4CD45	Beijing Boomsense
D0BB80	SHL Telemedicine
1C83B0	Linked IP
F065DD	Primax
706582	Suzhou Hanming
94C7AF	Raylios
6854F5	enLighted
008C10	Black Box
20A2E7	Lee-Dickens
8CDD8D	Wifly-City System
EC98C1	Beijing Risbo Network
